text,sentiment
morn if i get to see it i ll let you know right now i m go to go see wolverin,neutral
red top tabloid build em up knock em down,neutral
tonight in parti w my girl minus vita,positive
whi not now you made me sad i thought you d be jump for joy,neutral
simpl my a,neutral
the pic i just upload are the babi pic of my cat missi is now an adult and a pretti littl kitti but batti is in kitten heaven now,neutral
i saw the play of it here it was amaz,positive
i am glad to break my twitter virgin with you two,positive
dinner with the fam i have miss them,negative
_live that s what i want more the better bound to be a few bad egg though but they will soon learn,neutral
hell yeah kellynn got a twitter final,neutral
i know it was worth a shot though,positive
just open a facebook account i m a littl confus i don t realli get it twitter seem much better,positive
ship i m stuck,negative
dustbin babi on at can not wait x,positive
not go to dwell on it it happen it s pass just a shame as he was so support such is life x,negative
it look like the offic tv doe get mlb network and it look like mlbn will not be televis the det bal game today wieter,neutral
home empti hand no comic found today i shall now indulg in my cupcak from magnolia bakeri,neutral
lay in bed til workkk oh the life definit pinch a nerv,negative
today is a busi day exhaust,negative
i was go to go on sunday but now i ve got too much go on that weekend,neutral
sorri to hear ur flight got cancel that blow,negative
ohh my tooth is hurt ohh im sad it veri hurt,negative
befor i get too distract i d like to thank my new follow for take the troubl to follow me and to my other feelin the love,positive
u think u have bill ha ii just finish pay mine that s y i m broke,negative
not sure it didn t say it was big i jst saw the pic of u on ur last bday you look so pretti i miss you,neutral
sore throat plan the tet outing to marwel though good time,neutral
mcfli gig last nightt omg it was amazin didnt sit down through the whole thing mcfli did you see me and ma best mate we were in tutus,positive
day without sleep and now a migrain i thought life postr was meant to be relax,negative
there,neutral
suck,negative
when the sway sway winner announc,neutral
k will check it out,neutral
do pretti well up and wide awak,positive
i want to wake up earli and get a coffe tomorrow today it s go to be a busyy day but have to keep write booo whoo,neutral
i miss daddi and mommi,negative
my dog is offici depress that my brother s dog are gone he doesn t want to go outsid and when we did he play half heart,negative
i just realiz that i can t forward text msgs with my iphon,neutral
my frist post off to find a new car for my parent excit,positive
argh noo miss the killer on wossi that suck miss out on brandon total failur anyon know if it s repeat must investig,negative
serious bore without anyon to talk to but not tire enough for sleep,negative
i am lost pleas help me find a good home,negative
it s a peter gordon morn and i go to piec and i wan na hide go to piec and i almost die ever http blip fm yk,neutral
ok so i ve now got a bit of a bad back after lift all drum hardwar into my car downer,negative
lmao smh that one threw me off,neutral
oh nice go,positive
is get readi for work work all weekend,neutral
gon na celebr mother day with the famili but gon na start the parti tonit,positive
i agre with you,positive
i onli do comput am hopeless at everyth els,negative
degre gross sky and thunderstorm perfect match for my mood lol,positive
nd aww thank,positive
sorri rb is on ps for me,negative
i saw amaz heeel but they were too big,neutral
i just stuck my finger down my throat and there are a bunch of bump on my tongu throat,negative
dang last url went down http blip fm aigm,negative
ohoh i miss all ur tweet im gon na have to stay awak all night to see the announc now time differ,negative
damnit all that suck you were one of the one i thought i d drag back lol,negative
my boss she s move to nyc,neutral
this is sooo crazi i have fever,negative
is spend her saturday morn take note for a research essay becaus some stupid recal the book i m use not fair,negative
i think i need some new friend,neutral
look forward to your gig in ireland see ya there,neutral
pleas review sunehr ad placement http tinyurl com oow mk,positive
aww you loooov me,positive
is hungri twitter i want food,neutral
awesom lucki you,positive
yea i should know but tell me everyth ps send me direct messag tell haha,neutral
haha im jewish i love that one,positive
had a great time out in the beer garden wit the boyo i think the sun got to me a bit though feel a bit ill,neutral
l m on day too matt no fun this weekend,negative
u realli don t think so mayb ur right lol btw what phone u use think u told me b i might have an app for u,neutral
i feel your pain mine is the same way,negative
come home in two day,neutral
sad no it didn t come with one,negative
cant wait to see my boy tomorrow,positive
ehhh no just a check up i have a dentist app next week though get my molar pull root canal,neutral
aww i miss drive down elmwood,negative
omg wango tango was awsom i love my babi for take me,positive
version of our live interact tran siberian ticket planner is launch http tinyurl com c ljwm it veri cool,positive
i realli wish i could go,positive
yeah real hard but i know you ll get by with it smile,neutral
i m in decemb that s not good at all next big birthday is after it flys by for sure,negative
this has made my night way too funni,positive
woo cav happi mother s day,positive
i make that same face when i get home and your mom is watch soap,neutral
i have to go to work now,neutral
i can t believ you went and got boba without me,neutral
and to you too how are you today,neutral
thank for the warm welcom we didn t make plan becaus our arriv time was so up in the air,positive
day and count,neutral
sorri friend i m swamp with deadlin right now and we have famili visit to boot no charad for me,negative
brainfreez,neutral
just discov a shortcom of graviti when you use twitpic integr it doesn t subtract the pic url from the charact limit,neutral
my sunburn is peel,negative
perki purpl nail polish isn t as perki when it chip,neutral
http twitpic com sx befor they put a camera in the smoker pit i can no longer vandal that door without be caught,neutral
lay alon sinc mook s soo comfi in his f n play pen i thought it was ill at first now i don t have no one to cuddl with,negative
i hate the dentist,negative
noth aim at you just join in sorri,negative
i m take a twitter break cell is die,negative
qood morninq,neutral
write my english origin write storyyyyi and listen to a littl respect by erasur aaaaaah,neutral
need more follow,neutral
i wish i could get my nail done stupid job,negative
the littl wormi from labyrinth sad pass away today but it ok as hes still around in a happi ghost form aww http twitpic com aim,neutral
the no pant idea could be the new attempt world wide to attract busi back to the airlin,neutral
have a good one,positive
yep infact she is popular miss india talent film actress and lot more,positive
dosen t want to go to work tomorrow,negative
daniel has won dsds his voic is great,positive
o i wish the birthday massacr would come to australia i think they said they re think about it tho http tinyurl com p lfch,neutral
was hope to go to red lobster this weekend,neutral
_x_atl u mean jack barakat s wow so have u ever gone to his hous hehe i mean ur ssoo lucki to have the address,positive
i sure do hope it becom this afternoon,positive
it mean that you are now famous congrat,positive
my phone pass away yesterday he jump off the tabl search for a new phone,negative
i have such fantast friend includ sever one met through here thank for be in my life you are such amaz peopl,positive
tamlyn wish she was as cool as my sock draw,positive
so no rice or crusti bread with the chili aawww,neutral
we are of like mind this even my dear,neutral
come and save me from my pack pleas,neutral
yes i love tea if that make me typic english then so be it,positive
a mouth for sure,positive
_dec de i final just have hour of histori at pm but i went to my highschool at am to make some homework with a friend,neutral
pancak with lemon and sugar thank,positive
si no bueno i guess i just don t entertain him,negative
i m so hunrgi right now and these heel kill me i can hard walk in them,negative
both electron key stop work there is no keyhol cant get in my car so much for technolog,negative
yay three follow good to know more than one person in this big wide world like fishi,positive
my name is toni not hey poor toni,negative
goodmorn,positive
took a shift tomorrow i don t realli feel like work right now,negative
i love mine too happi motherã â â½s day to your mom john taylor much love to you too,positive
saw a black snake in the garden went back for a pictur and it was gone,neutral
http twitpic com wukt we bought ludi her own rug dog are the best,positive
no waterfront anymor faccia luna and clarendon will have to do,negative
love her mum veri much happi mother day to all the wonder mother out there,positive
slip up and caught the flu feel like poop,negative
i have an urg to play wow but i have to wait week til im at my dad day til mcfli im so excit l,positive
ok the passeng no one is aliv they re all dead you just don t know it til the end then you cri,negative
discov and are share on g reader with me and didn t even know it sigh i m such a g reader newb,neutral
is chill out tonit so can not spew venom or write funni seem like these are the onli style she has,neutral
if u do pleas pray me lord know i need it,neutral
aaaaaw i want to live in the usa,neutral
morn tweepl,positive
hey i didn t get ani,neutral
now you onli have hour to sleep rest if you need it,positive
that make my day so much better it s been a rough one did i mention i love the new photo,neutral
i don t want to sit at home on prom night someon hang out with me,negative
is head home from foot surgeri and wish she had a boyfriend to come over and cuddl with,positive
concert tonight chackin out and not come tomorrow,neutral
what happen i thought you were come back today,neutral
lol dammit well then next time then,negative
lol just don t ever forget me,positive
still jealous,negative
http twitpic com qv me at forev ethan couldn t be there,negative
now im sad but im not give in first i didnt do noth,negative
this week of mine was not easi but final it s over,negative
wow what a beauti pictur and by the way i am straight just want to let you know bella,positive
in arch draw check out mvcc s cad degre look good to me,positive
there are peopl and then there are pencil some are sharp some are not and some can be sharpen my pencil philosophi,neutral
just about to go home i m usual mr posit but this has been one of those daze well min until tomorrow,neutral
but you alway have lee let s go to pari,neutral
you know you want to come keep me compani whilst mum s at her friend for the night it s such a nice even,positive
cook with my dad have lot of fun in the kitchen togeth,positive
bounc rush make me feel nauseous,negative
off to woolseri this morn to hope see north molton u clinch the north devon leagu titl love day for it,positive
play singstar without my fave duetter,negative
you re miss out bb i m such a cereal nut i think i like everi kind avail,positive
that s just weird oh and what was it you were draw for me,negative
just woke up o mum sing to her new gn r cd replac i bought becaus im a good daughter,positive
the bird are out oh man that s not cool i didn t sleep yet for the night,negative
mile down onli to go that ok u on the radio alwa help,positive
my street fighter iv skill are lack can t beat seth on easi,negative
fil with cool peopl like me,positive
good morn work and then it s espn s sunday night basebal hope it won t get rain out,positive
i think it s under a honeymoon by the good life either that or it s under a honey moon by joseph arthur,neutral
my son got stung by a bug for the first time his littl finger is slight swollen,negative
it was hour ago i came in and it s onli now i realis when i went to buy someth onlin,neutral
oh just refer to our lil exchang on lj with regard to twitter archiv post,neutral
bump dj opus in the drunk in the car lmao don t act like u don t know,negative
whi kiss the feet of the peopl who kick you when you can be anyth that you want to morn everyon hope you have the best day ever,positive
here s a brief preview http bit ly ehcfp omg jame is creepi in that role i m scare of him,negative
i m miss crab leg and attend my go away instead,negative
hick are mean,negative
gettn readi to take a trip to jersey my dad s not do so good he need a new heart whoeva see s this pleas say a prayer for my dad,negative
back soon need to run to the shop and cut the grass,neutral
i m up i have a plan to transform my bedroom today random,neutral
home until tomorrow did my run and spin now time for chiropractor laundri shop and visit famili miss nathan,negative
that anoth sponsor,neutral
and most of us are go to be stuck in an offic some without window,negative
no it s not sad should make you proud,negative
sorri we ll tri to keep it down,negative
is home alon do hw,neutral
accord to a quarter of famili under six live in poverti,negative
the plan to not spend money is not go well,negative
upload all my bamboozl pictur of facebook,neutral
congratul you guy finish a month earli than we do booo,positive
actual i wish i was back in taho i miss it there,negative
woke up i wan na stay in my bed,neutral
but my bday is june this is wack and ihav seen ani promot for my bday parti someon better finagl this asap,negative
it would be great if those vip were for some act i d enjoy see but noooo,neutral
_mari wish i could make it too i hate my commut sometim,neutral
workin a long day today hope i can make some good tip,positive
but it all went too quick and there wasn t a chanc lol,negative
hate headach mayb i m not readi to rock,negative
thank for the support,positive
there s realli no android twitter app of tweeti s calibr,neutral
had a good day drive up mountain visit kati eat chip fudg and stock up on love smell soap,positive
nyappi mother s day to your mom s,positive
yeah and im gon na take ur pictur off my ipod babi,neutral
traumat moment of my childhood my dog massacr babi bunni and my brother and i got out the bb gun,negative
lol same here wish there was a way to micros everyth lol,neutral
organ itil forget about peopl and so they fail preach to the convert it is the peopl http tr im kwua,negative
_libertin um glad you enjoy it,positive
about to have dinner and then an even of play card alreadi pack and readi to head home tomorrow do we have to go home,neutral
im allerg to cat my tonsil get swollen and they hurt what do i dooo,negative
he say he feel mama tuck him in at night he s lone but get by tomorrow will be tough,negative
i miss her alot and it onli been one day,negative
sound like you all had a great night i m glad it was success,positive
thank for share that,positive
you should say mlia instead of fml i hope you find it soon,positive
garden go well almost all the corn and pea are up no onion or beet up yet though,positive
nah jkin he s hot so bore now,neutral
ahhh i m sqeaki clean and fresh even though i m wear dirti cloth i love two and a half men it s amaz,positive
yes i have read them mani time,neutral
cuz you play a grown up on twitter,neutral
i am live in ignor,negative
nope it is tell you that you want cameo cream,neutral
a we re gon na miss you,negative
we quit like worth it a relax place with nice coffe shop and fresh air and not too mani oik,positive
_terribl haha that was new the fact that he couldn t do it should have cost his part what kind of spock is that,neutral
today was a love day i had fun with and this even,positive
beto s pizzeria is on banksvill rd in i believ the beachview area sorri to answer like year later,negative
sigh my sister bein strang she came all the way from copenhagen to london and now her phone turn off i wan na see her dammit,negative
it was amaz,positive
barb tri to figur out y the dsl aint connect i need my googl go home to my comput if it don t start work soon smh,neutral
i m sick and sad miss out on martini loung tonight,negative
seem realli quiet tonight am jealous of those who are clear have a more excit life than me off to bed i think,neutral
realli wish he had some spare cash to buy the new punch out for wii,negative
aw not go to toronto anymor,negative
so sorri to hear about your mom that realli suck,negative
i feel for you i hope it s a smooth flight be safe mucho amor from boston,positive
can t sleep so i m watch hgtv i m afraid infomerci are about to take over,negative
i m get me my famili readi for kayle s graduat it s gon na make me so sad,negative
sweet dream,positive
hay wat ur aim we should chat,neutral
okay kool i might be tour all summer long but we can make it happen,neutral
in pain my big toe got stomp on dure the hokey cokeu it s throb anyon have ani suggest to heal it,negative
time to watch op then some dead like me then sleep,neutral
have dinner with my grandma sinc i couldn t be with my mum,neutral
haha thank it for histori and it on how the invent of televis has influenc america lol,positive
yea so wassup,neutral
stupid job idk what to do,negative
shop til i drop come bac sunshin i miss u,negative
like your pic lucki girl again,positive
thank you i ve had anxieti issu for year so i think if i can make it through the first coupl of day then i will be fine,neutral
around hour left until a day weekend and i have waaaay too much work to do,neutral
feel love my mom got me a nikon cool pix for my birthday,positive
there were attempt to somehow extend inner class which would be close to closur can t find the ref atm,neutral
yes join us all we requir is a cupcak donat,neutral
i have such a hard time talk to new peopl i am pretti sure i didn t make a good impress,negative
_rc haha yup but still have a terribl headach and super swollen and puffi eye i dont think im go out today ugh,negative
can t access your site,neutral
and the sun is shin at last,positive
we are on the slowest train ever it stop everywher miss a quick train by a few minut,negative
nup no cd either just a whole bunch of zero and one you can have for free,neutral
my graduat day and i feel like a failur,neutral
op that lol wasnt suppos to got to twitter,neutral
i don t think i ve ever been so tierd in my life ugh goodnight so sleep in tomorrow,negative
what are u go to do today my girl,neutral
whi doesnt he want me anymor,negative
bad hair day,negative
headach,negative
sorri guy i didn t sign in for a while sorri everi,negative
i am just okay okay like the rest of the sane popul in the world i hate monday,neutral
mozart s requiem,neutral
